,time_1,accuracy_1,precision_1,recall_1,f1score_1,model_1,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1score_mean,f1score_std
phpHyLSNF,12210.0,0.8321678321678321,0.8545984318711592,0.8321678321678322,0.8322220488549089,"best classifier: weka.classifiers.bayes.NaiveBayes
arguments: []",0.8321678321678321,0.0,0.8545984318711592,0.0,0.8321678321678322,0.0,0.8322220488549089,0.0
phpNevWWL,13428.0,0.7314285714285714,0.7255142560639898,0.7314285714285714,0.7165946913227106,"best classifier: weka.classifiers.meta.Bagging
arguments: [-P, 91, -I, 9, -S, 1, -W, weka.classifiers.bayes.BayesNet, --, -D, -Q, weka.classifiers.bayes.net.search.local.TAN]",0.7314285714285714,0.0,0.7255142560639898,0.0,0.7314285714285714,0.0,0.7165946913227106,0.0
phpmcGu2X,14401.0,0.8333333333333333,0.8745735050363381,0.8333333333333334,0.8365826275267471,"best classifier: weka.classifiers.functions.Logistic
arguments: [-R, 0.0885405771893914]",0.8333333333333333,0.0,0.8745735050363381,0.0,0.8333333333333334,0.0,0.8365826275267471,0.0
