dataset	classifier	accuracy	precision	recall	f1score	metric	time_budget	full	methods
phpZrCzJR	 decision_tree	0.9874509803921568	0.9885563335197751	0.9874509803921568	0.9935948759007206	binary	10	False	['decision_tree']
phpZrCzJR	 random_forest	0.9945098039215686	0.9945403292373343	0.9945098039215686	0.9972122660294704	binary	10	False	['random_forest']
phpZrCzJR	 libsvm_svc	0.9913725490196078	0.9907054459303593	0.9913725490196078	0.9956192751891676	binary	10	False	['libsvm_svc']
phpZrCzJR	 sgd	0.9945098039215686	0.9943652369605506	0.9945098039215686	0.9972189114024633	binary	30	True	['adaboost', 'bernoulli_nb', 'decision_tree', 'extra_trees', 'gaussian_nb', 'gradient_boosting', 'k_nearest_neighbors', 'lda', 'liblinear_svc', 'libsvm_svc', 'multinomial_nb', 'passive_aggressive', 'qda', 'random_forest', 'sgd']
phpZrCzJR	 random_forest	0.996078431372549	0.9960939316438038	0.996078431372549	0.998019801980198	binary	30	False	['decision_tree', 'random_forest', 'libsvm_svc']
phpZrCzJR	 decision_tree	0.9937254901960785	0.9931129194760909	0.9937254901960785	0.9968329374505147	binary	30	False	['decision_tree']
phpZrCzJR	 random_forest	0.9929411764705882	0.9925602508306426	0.9929411764705882	0.9964157706093191	binary	30	False	['random_forest']
phpZrCzJR	 libsvm_svc	0.9945098039215686	0.9945402084884587	0.9945098039215686	0.9972233240777469	binary	30	False	['libsvm_svc']
phpZrCzJR	 random_forest	0.9921568627450981	0.9917534658589844	0.9921568627450981	0.9960222752585521	binary	60	True	['adaboost', 'bernoulli_nb', 'decision_tree', 'extra_trees', 'gaussian_nb', 'gradient_boosting', 'k_nearest_neighbors', 'lda', 'liblinear_svc', 'libsvm_svc', 'multinomial_nb', 'passive_aggressive', 'qda', 'random_forest', 'sgd']
phpZrCzJR	 libsvm_svc	0.9858823529411764	0.9858823529411764	0.9858823529411764	0.992822966507177	binary	60	False	['decision_tree', 'random_forest', 'libsvm_svc']
phpZrCzJR	 decision_tree	0.9968627450980392	0.9968726574358022	0.9968627450980392	0.9984177215189874	binary	60	False	['decision_tree']
phpZrCzJR	 random_forest	0.9905882352941177	0.989741634956917	0.9905882352941177	0.9952267303102625	binary	60	False	['random_forest']
phpZrCzJR	 libsvm_svc	0.9945098039215686	0.9942833948511891	0.9945098039215686	0.9972144846796657	binary	60	False	['libsvm_svc']
