,dataset,sklearn_accuracy_mean,sklearn_f1_score_mean,sklearn_precision_mean,sklearn_recall_mean,sklearn_time_mean,sklearn_e_accuracy_mean,sklearn_e_f1_score_mean,sklearn_e_precision_mean,sklearn_e_recall_mean,sklearn_e_time_mean,sklearn_m_accuracy_mean,sklearn_m_f1_score_mean,sklearn_m_precision_mean,sklearn_m_recall_mean,sklearn_m_time_mean,sklearn_v_accuracy_mean,sklearn_v_f1_score_mean,sklearn_v_precision_mean,sklearn_v_recall_mean,sklearn_v_time_mean,autoweka_accuracy_mean,autoweka_f1_score_mean,autoweka_precision_mean,autoweka_recall_mean,autoweka_time_mean,recipe_valid_acc,recipe_valid_precision,recipe_valid_recall,recipe_valid_f1,recipe_train_acc,recipe_train_precision,recipe_train_recall,recipe_train_f1,recipe_test_acc,recipe_test_precision,recipe_test_recall,recipe_test_f1,smartml_model,smartml_train_acc,smartml_valid_acc,tpot_accuracy_mean,tpot_f1_score_mean,tpot_precision_mean,tpot_recall_mean,tpot_time_mean
9,aaaData_for_UCI_named,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3452,0.11916304,0.3452,0.17716776687481414,randomForest,1.0,"1
",1.0,1.0,1.0,1.0,
3,AirlinesCodrnaAdult,0.7871510932473496,0.7873876149897401,0.7877955563110932,0.7871510932473496,,0.7908082526616096,0.7913549062797011,0.7941734617605309,0.7908082526616096,,0.7868780600153048,0.7870621017252354,0.7873383340652366,0.7868780600153048,,0.7868780600153048,0.7870621017252354,0.7873383340652366,0.7868780600153048,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,"NA
",,,,,
4,Amazon,0.8177777777777778,0.8044981258060325,0.8467649905649907,0.8177777777777778,,0.7768888888888889,0.7711578498471826,0.8187498501498501,0.7768888888888889,,0.664,0.6533054893644367,0.6906789728789731,0.664,,0.6417777777777778,0.6316579634576774,0.6832828633354948,0.6417777777777778,,0.5173333333333333,0.5170484657642553,0.5522736781736782,0.5173333333333333,,,,,,,,,,,,,,,,,,,,,
10,analcatdata_authorship,1.0,1.0,1.0,1.0,,0.995260663507109,0.995262751228572,0.9953274147253188,0.995260663507109,,0.995260663507109,0.9952581533761158,0.9953184602936076,0.995260663507109,,0.990521327014218,0.9905120928615936,0.9905880782324276,0.990521327014218,,0.981042654028436,0.9810670321913644,0.9811761564648556,0.981042654028436,,0.9894179894179894,0.9897079075161268,0.9894179894179894,0.9894125053743628,1.0,1.0,1.0,1.0,0.990521327014218,0.9907497287729116,0.990521327014218,0.9905360355173202,rda,0.9968253968253971,"0.995260663507109
",1.0,1.0,1.0,1.0,
0,AP_Breast_Lung,0.9689265536723164,0.9688883832766764,0.9689074191566712,0.9689265536723164,,0.963276836158192,0.9632132188321256,0.9632053334944659,0.963276836158192,,0.9548022598870056,0.9546415997669158,0.9548144893023364,0.9548022598870056,,0.9745762711864406,0.9744617599995208,0.9745188676395056,0.9745762711864406,,0.0,0.0,0.0,0.0,,0.9528301886792452,0.9530957372466806,0.9528301886792452,0.951940192239231,1.0,1.0,1.0,1.0,0.8898305084745762,0.8975526509715704,0.8898305084745762,0.8825852150497444,c50,1.0,"0.915254237288136
",,,,,
1,AP_Omentum_Ovary,0.8164251207729469,0.8097755217272598,0.8101131474530329,0.8164251207729469,,,,,,,,,,,,0.7777777777777777,0.7715870832994566,0.7719646387623236,0.7777777777777777,,0.0,0.0,0.0,0.0,,0.8064516129032258,0.8145852252536819,0.8064516129032258,0.8096285434995113,0.9902912621359224,0.9906203718940266,0.9902912621359224,0.9903421583619104,0.7826086956521741,0.7740220798691564,0.7826086956521741,0.7601945183573423,naiveBayes,0.7766990291262141,"0.333333333333333
",,,,,
2,AP_Prostate_Ovary,0.9850746268656716,0.9848445844173628,0.9853459972862958,0.9850746268656716,,0.9950248756218903,0.9949481948057876,0.9951153324287652,0.9950248756218903,,0.9601990049751244,0.9612040981129344,0.96488666805831,0.9601990049751244,,0.9850746268656716,0.9848445844173628,0.9853459972862958,0.9850746268656716,,0.9701492537313432,0.9701492537313432,0.9701492537313432,0.9701492537313432,,0.9833333333333332,0.9842592592592592,0.9833333333333332,0.9834733893557422,1.0,1.0,1.0,1.0,0.9701492537313432,0.9741293532338308,0.9701492537313432,0.9709337409985116,naiveBayes,0.96,"0.805970149253731
",0.9850746268656716,0.9848445844173628,0.9853459972862958,0.9850746268656716,
11,arrhythmia,0.8849557522123894,0.8832904334263125,0.9063211125158028,0.8849557522123894,,0.8849557522123894,0.8832904334263125,0.9063211125158028,0.8849557522123894,,0.8495575221238938,0.8458584141905802,0.8841186319062425,0.8495575221238938,,0.8495575221238938,0.8473797975574855,0.8688589656895893,0.8495575221238938,,0.8053097345132744,0.8028992836072482,0.8194060652698589,0.8053097345132744,,0.8235294117647058,0.823905731824917,0.8235294117647058,0.8224164715156854,1.0,1.0,1.0,1.0,0.5309734513274337,0.7590322318746447,0.5309734513274337,0.4025445225503256,naiveBayes,0.702064896755162,"0.654867256637168
",,,,,
12,audiology,0.9473684210526316,0.9468365823224988,0.9470342522974101,0.9473684210526316,,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,,0.9473684210526316,0.9455748905732893,0.9509569377990428,0.9473684210526316,,0.9473684210526316,0.9468365823224988,0.9470342522974101,0.9473684210526316,,0.9298245614035088,0.9283208020050124,0.929766276155505,0.9298245614035088,,0.9215686274509804,0.9411764705882352,0.9215686274509804,0.9250511015216898,1.0,1.0,1.0,1.0,0.9298245614035088,0.929766276155505,0.9298245614035088,0.9283208020050124,svm,1.0,"0.894736842105263
",0.9473684210526316,0.9468365823224988,0.9470342522974101,0.9473684210526316,
13,avila-tr,0.9986582327007858,0.9986573325686944,0.9986631357009378,0.9986582327007858,,0.9942495687176538,0.994243444543778,0.9942736387373444,0.9942495687176538,,0.9988499137435308,0.9988488377681072,0.9988555266734706,0.9988499137435308,,0.9844738355376652,0.9844583324665382,0.9846457177211054,0.9844738355376652,,0.9994249568717654,0.9994574016875308,0.9995249924327938,0.9994249568717654,,0.9982960596379128,0.9983194375256448,0.9982960596379128,0.9982999619454906,1.0,1.0,1.0,1.0,0.9505462909718227,0.9523934382691982,0.9505462909718227,0.9496322483241364,c50,1.0,"0.998466551658041
",,,,,
