,sklearn_accuracy_mean,sklearn_f1_score_mean,sklearn_model_1,sklearn_precision_mean,sklearn_recall_mean,sklearn_time_mean,sklearn_e_accuracy_mean,sklearn_e_f1_score_mean,sklearn_e_model_1,sklearn_e_precision_mean,sklearn_e_recall_mean,sklearn_e_time_mean,sklearn_m_accuracy_mean,sklearn_m_f1_score_mean,sklearn_m_model_1,sklearn_m_precision_mean,sklearn_m_recall_mean,sklearn_m_time_mean,sklearn_v_accuracy_mean,sklearn_v_f1_score_mean,sklearn_v_model_1,sklearn_v_precision_mean,sklearn_v_recall_mean,sklearn_v_time_mean,autoweka_accuracy_mean,autoweka_f1_score_mean,autoweka_model_1,autoweka_precision_mean,autoweka_recall_mean,autoweka_time_mean,recipe_valid_acc,recipe_valid_precision,recipe_valid_recall,recipe_valid_f1,recipe_train_acc,recipe_train_precision,recipe_train_recall,recipe_train_f1,recipe_test_acc,recipe_test_precision,recipe_test_recall,recipe_test_f1,smartml_model,smartml_train_acc,smartml_valid_acc,tpot_accuracy_mean,tpot_f1_score_mean,tpot_model_1,tpot_precision_mean,tpot_recall_mean,tpot_time_mean
AP_Breast_Lung,0.9689265536723164,0.9688883832766764,gradient_boosting,0.9689074191566712,0.9689265536723164,,0.963276836158192,0.9632132188321256,decision_tree,0.963205333494466,0.963276836158192,,0.9548022598870056,0.9546415997669158,decision_tree,0.9548144893023364,0.9548022598870056,,0.9745762711864406,0.9744617599995208,random_forest,0.9745188676395056,0.9745762711864406,,0.0,0.0,None,0.0,0.0,,0.9528301886792453,0.9530957372466806,0.9528301886792453,0.951940192239231,1.0,1.0,1.0,1.0,0.8898305084745762,0.8975526509715704,0.8898305084745762,0.8825852150497444,c50,1,"0.915254237288136
",,,None,,,
AP_Omentum_Ovary,0.8164251207729469,0.8097755217272598,random_forest,0.8101131474530329,0.8164251207729469,,,,,,,,,,,,,,0.7777777777777777,0.7715870832994566,passive_aggressive,0.7719646387623236,0.7777777777777777,,0.0,0.0,None,0.0,0.0,,0.8064516129032258,0.8145852252536819,0.8064516129032258,0.8096285434995113,0.9902912621359223,0.9906203718940266,0.9902912621359223,0.9903421583619105,0.782608695652174,0.7740220798691564,0.782608695652174,0.7601945183573423,naiveBayes,0.776699029126214,"0.333333333333333
",,,None,,,
AP_Prostate_Ovary,0.9850746268656716,0.9848445844173628,qda,0.9853459972862958,0.9850746268656716,,0.9950248756218903,0.9949481948057876,xgradient_boosting,0.9951153324287652,0.9950248756218903,,0.9601990049751244,0.9612040981129344,decision_tree,0.96488666805831,0.9601990049751244,,0.9850746268656716,0.9848445844173628,random_forest,0.9853459972862958,0.9850746268656716,,0.9701492540000001,0.9701492540000001,meta.RandomSubSpace,0.9701492540000001,0.9701492540000001,,0.9833333333333333,0.9842592592592593,0.9833333333333333,0.9834733893557422,1.0,1.0,1.0,1.0,0.9701492537313433,0.9741293532338309,0.9701492537313433,0.9709337409985116,naiveBayes,0.96,"0.805970149253731
",0.9850746268656716,0.9848445844173628,None,0.9853459972862958,0.9850746268656716,
AirlinesCodrnaAdult,0.7871510932473496,0.7873876149897401,random_forest,0.7877955563110932,0.7871510932473496,,0.7908082526616096,0.7913549062797011,random_forest,0.7941734617605309,0.7908082526616096,,0.7868780600153048,0.7870621017252354,random_forest,0.7873383340652366,0.7868780600153048,,0.7868780600153048,0.7870621017252354,random_forest,0.7873383340652366,0.7868780600153048,,0.0,0.0,None,0.0,0.0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA
",,,None,,,
Amazon,0.8177777777777778,0.8044981258060325,passive_aggressive,0.8467649905649907,0.8177777777777778,,0.7768888888888889,0.7711578498471826,adaboost,0.8187498501498501,0.7768888888888889,,0.664,0.6533054893644367,passive_aggressive,0.6906789728789731,0.664,,0.6417777777777778,0.6316579634576774,passive_aggressive,0.6832828633354948,0.6417777777777778,,0.517333333,0.517048466,bayes.NaiveBayesMultinomial,0.5522736779999999,0.517333333,,,,,,,,,,,,,,,,,,,None,,,
CovPokElec,0.444833764791883,0.27390982010643,None,0.1978770782989204,0.444833764791883,,0.5005569571088063,0.4469363236457285,None,0.4611149430887396,0.5005569571088063,,0.444833764791883,0.27390982010643,None,0.1978770782989204,0.444833764791883,,0.4909054766838334,0.4193310230197416,decision_tree,0.3989018492868394,0.4909054766838334,,0.0,0.0,None,0.0,0.0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,None,,,
GCM,0.75,0.7264550264550266,qda,0.7788194444444444,0.75,,0.75,0.7223214285714286,liblinear_svc,0.7690972222222223,0.75,,0.7291666666666666,0.7224867724867726,libsvm_svc,0.7864583333333334,0.7291666666666666,,0.7916666666666666,0.7660849567099568,passive_aggressive,0.8152777777777778,0.7916666666666666,,0.0,0.0,None,0.0,0.0,,,,,,,,,,,,,,svm,0.840579710144927,"0.625
",,,None,,,
KDDCup99,0.9996410401738122,0.9996008500584198,random_forest,0.9995831932148412,0.9996410401738122,,,,,,,,,,,,,,0.9996194486053196,0.9995806231348708,random_forest,0.9995639656320708,0.9996194486053196,,0.999303672,0.333078611,None,0.333084232,0.333101224,,,,,,,,,,,,,,,,,,,None,,,
MagicTelescope,0.8786540483701367,0.8767674979900185,gradient_boosting,0.8781348583701845,0.8786540483701367,,0.8807570977917981,0.8786105080817999,adaboost,0.8807014592369383,0.8807570977917981,,0.8849631966351209,0.8835083091128588,gradient_boosting,0.8843172035703285,0.8849631966351209,,0.8715036803364878,0.8687862865299631,random_forest,0.8716140199737189,0.8715036803364878,,0.833228181,0.828834595,trees.RandomForest,0.8320568490000001,0.833228181,,,,,,,,,,,,,,randomForest,0.991657903960743,"0.876340694006309
",0.8763406940063091,0.8737875069017941,None,0.8765920923841775,0.8763406940063091,
aaaData_for_UCI_named,1.0,1.0,random_forest,1.0,1.0,,1.0,1.0,gradient_boosting,1.0,1.0,,1.0,1.0,xgradient_boosting,1.0,1.0,,1.0,1.0,decision_tree,1.0,1.0,,1.0,1.0,trees.RandomForest,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3452,0.11916304,0.3452,0.17716776687481414,randomForest,1,"1
",1.0,1.0,None,1.0,1.0,
analcatdata_authorship,1.0,1.0,lda,1.0,1.0,,0.995260663507109,0.995262751228572,gaussian_nb,0.9953274147253188,0.995260663507109,,0.995260663507109,0.9952581533761158,k_nearest_neighbors,0.9953184602936076,0.995260663507109,,0.990521327014218,0.9905120928615936,gaussian_nb,0.9905880782324276,0.990521327014218,,0.981042654,0.981067032,functions.Logistic,0.981176156,0.981042654,,0.9894179894179894,0.9897079075161267,0.9894179894179894,0.9894125053743628,1.0,1.0,1.0,1.0,0.990521327014218,0.9907497287729117,0.990521327014218,0.9905360355173202,rda,0.996825396825397,"0.995260663507109
",1.0,1.0,None,1.0,1.0,
