,time_1,accuracy_1,precision_1,recall_1,f1score_1,model_1,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1score_mean,f1score_std
solar-flare_1,12010.0,0.7974683544303798,0.7747943570728381,0.7974683544303798,0.7847538677918424,"best classifier: weka.classifiers.trees.J48
arguments: [-O, -B, -J, -M, 9, -C, 0.0769161364104205]",0.7974683544303798,0.0,0.7747943570728381,0.0,0.7974683544303798,0.0,0.7847538677918424,0.0
tumors_C,12362.0,0.6666666666666667,0.7559523809523809,0.6666666666666666,0.6858054226475279,"best classifier: weka.classifiers.functions.Logistic
arguments: [-R, 0.057140274761388915]",0.6666666666666667,0.0,0.7559523809523809,0.0,0.6666666666666666,0.0,0.6858054226475279,0.0
