dataset,accuracy_1,accuracy_2,accuracy_3,accuracy_mean,accuracy_std,error_1,error_2,error_3,f1score_1,f1score_2,f1score_3,f1score_mean,f1score_std,model_1,model_2,model_3,precision_1,precision_2,precision_3,precision_mean,precision_std,recall_1,recall_2,recall_3,recall_mean,recall_std,time_1,time_2,time_3
AP_Breast_Lung,0,0,0,0,0,Timeout,Timeout,Timeout,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,1980,1980,1980
AP_Omentum_Ovary,0,0,0,0,0,Timeout,Timeout,Timeout,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,1980,1980,1980
AP_Prostate_Ovary,0.970149254,0.970149254,0.970149254,0.970149254,0,,,,0.970149254,0.970149254,0.970149254,0.970149254,0,"best classifier: weka.classifiers.meta.RandomSubSpace
arguments: [-I, 27, -P, 0.47798001052715733, -S, 1, -W, weka.classifiers.trees.J48, --, -B, -J, -A, -S, -M, 4]","best classifier: weka.classifiers.meta.RandomSubSpace
arguments: [-I, 27, -P, 0.47798001052715733, -S, 1, -W, weka.classifiers.trees.J48, --, -B, -J, -A, -S, -M, 4]","best classifier: weka.classifiers.meta.RandomSubSpace
arguments: [-I, 27, -P, 0.47798001052715733, -S, 1, -W, weka.classifiers.trees.J48, --, -B, -J, -A, -S, -M, 4]",0.970149254,0.970149254,0.970149254,0.970149254,0,0.970149254,0.970149254,0.970149254,0.970149254,0,1539,1562,1562
AirlinesCodrnaAdult,0,0,0,0,0,Timeout,Timeout,Timeout,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,1980,1980,1980
Amazon,0.517333333,0.517333333,0.517333333,0.517333333,0,,,,0.517048466,0.517048466,0.517048466,0.517048466,0,"best classifier: weka.classifiers.bayes.NaiveBayesMultinomial
arguments: []","best classifier: weka.classifiers.bayes.NaiveBayesMultinomial
arguments: []","best classifier: weka.classifiers.bayes.NaiveBayesMultinomial
arguments: []",0.552273678,0.552273678,0.552273678,0.552273678,0,0.517333333,0.517333333,0.517333333,0.517333333,0,1792,1789,1798
CovPokElec,0,0,0,0,0,,Timeout,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,403,1981,568
CovPokElec,0,0,,0,0,,Timeout,,0,0,,0,0,,,,0,0,,0,0,0,0,,0,0,1872,1980,
GCM,0,,,0,0,Timeout,,,0,,,0,0,,,,0,,,0,0,0,,,0,0,1980,,
KDDCup99,0,0,0.999303672,0.999303672,0.471076269,Timeout,Timeout,,0,0,0.999235832,0.333078611,0.471044288,,,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]",0,0,0.999252696,0.333084232,0.471052239,0,0,0.999303672,0.333101224,0.471076269,1980,1980,1782
MagicTelescope,0.833228181,,,0.833228181,0,,,,0.828834595,,,0.828834595,0,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]",,,0.832056849,,,0.832056849,0,0.833228181,,,0.833228181,0,1639,,
aaaData_for_UCI_named,1,,,1,0,,,,1,,,1,0,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 7, -K, 4, -depth, 5]",,,1,,,1,0,1,,,1,0,1583,,
analcatdata_authorship,0.981042654,,,0.981042654,0,,,,0.981067032,,,0.981067032,0,"best classifier: weka.classifiers.functions.Logistic
arguments: [-R, 4.2963711883511804E-4]",,,0.981176156,,,0.981176156,0,0.981042654,,,0.981042654,0,1514,,
arrhythmia,0.805309735,,,0.805309735,0,,,,0.802899284,,,0.802899284,0,"best classifier: weka.classifiers.bayes.BayesNet
arguments: [-D, -Q, weka.classifiers.bayes.net.search.local.TAN]",,,0.819406065,,,0.819406065,0,0.805309735,,,0.805309735,0,1676,,
audiology,0.929824561,,,0.929824561,0,,,,0.928320802,,,0.928320802,0,"best classifier: weka.classifiers.functions.Logistic
arguments: [-R, 2.2509781715920914E-5]",,,0.929766276,,,0.929766276,0,0.929824561,,,0.929824561,0,1726,,
avila-tr,0.999424957,,,0.999424957,0,,,,0.999457402,,,0.999457402,0,"best classifier: weka.classifiers.rules.DecisionTable
arguments: [-E, auc, -S, weka.attributeSelection.BestFirst, -X, 2]",,,0.999524992,,,0.999524992,0,0.999424957,,,0.999424957,0,1634,,
churn,0.9216,,,0.9216,0,,,,0.912490316,,,0.912490316,0,"best classifier: weka.classifiers.rules.JRip
arguments: [-N, 3.2535425399717908, -E, -P, -O, 4]",,,0.918369391,,,0.918369391,0,0.9216,,,0.9216,0,1530,,
cifar-10,0,0,0,0,0,Timeout,Timeout,Timeout,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,1980,1980,1980
connect-4,0.706927176,0.706927176,0.706927176,0.706927176,0,,,,0.653940022,0.653940022,0.653940022,0.653940022,0,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]","best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]","best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]",0.663703672,0.663703672,0.663703672,0.663703672,0,0.706927176,0.706927176,0.706927176,0.706927176,0,1648,1644,1635
