dataset,accuracy_1,accuracy_2,accuracy_3,accuracy_mean,accuracy_std,error_1,error_2,error_3,f1score_1,f1score_2,f1score_3,f1score_mean,f1score_std,model_1,model_2,model_3,precision_1,precision_2,precision_3,precision_mean,precision_std,recall_1,recall_2,recall_3,recall_mean,recall_std,time_1,time_2,time_3
AP_Breast_Lung,0,0,0,0,0,Timeout,Timeout,Timeout,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,660,660,660
AP_Omentum_Ovary,0,0,0,0,0,Timeout,Timeout,Timeout,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,660,660,660
AP_Prostate_Ovary,1,1,1,1,0,,,,1,1,1,1,0,"best classifier: weka.classifiers.meta.Vote
arguments: [-R, MAX, -S, 1, -B, weka.classifiers.trees.LMT -M 2 -W 0.23885826206068084 -A]","best classifier: weka.classifiers.meta.Vote
arguments: [-R, MAX, -S, 1, -B, weka.classifiers.trees.LMT -M 2 -W 0.23885826206068084 -A]","best classifier: weka.classifiers.meta.Vote
arguments: [-R, MAX, -S, 1, -B, weka.classifiers.trees.LMT -M 2 -W 0.23885826206068084 -A]",1,1,1,1,0,1,1,1,1,0,530,533,531
AirlinesCodrnaAdult,0,0,0,0,0,Timeout,Timeout,Timeout,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,660,660,660
Amazon,0,0,0,0,0,Timeout,Timeout,Timeout,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,660,660,660
CovPokElec,0,0,0,0,0,Timeout,Timeout,Timeout,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,660,660,660
GCM,0,,,0,0,Timeout,,,0,,,0,0,,,,0,,,0,0,0,,,0,0,660,,
KDDCup99,0,0,0,0,0,Timeout,Timeout,Timeout,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,660,660,660
MagicTelescope,0.833228181,,,0.833228181,0,,,,0.828834595,,,0.828834595,0,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]",,,0.832056849,,,0.832056849,0,0.833228181,,,0.833228181,0,529,,
aaaData_for_UCI_named,1,,,1,0,,,,1,,,1,0,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 7, -K, 4, -depth, 5]",,,1,,,1,0,1,,,1,0,566,,
analcatdata_authorship,0.995260664,,,0.995260664,0,,,,0.995258153,,,0.995258153,0,"best classifier: weka.classifiers.functions.Logistic
arguments: [-R, 0.0767011353880596]",,,0.99531846,,,0.99531846,0,0.995260664,,,0.995260664,0,512,,
arrhythmia,0.805309735,,,0.805309735,0,,,,0.802899284,,,0.802899284,0,"best classifier: weka.classifiers.bayes.BayesNet
arguments: [-D, -Q, weka.classifiers.bayes.net.search.local.TAN]",,,0.819406065,,,0.819406065,0,0.805309735,,,0.805309735,0,514,,
audiology,0.929824561,,,0.929824561,0,,,,0.926444017,,,0.926444017,0,"best classifier: weka.classifiers.functions.Logistic
arguments: [-R, 0.03189171239023452]",,,0.936062378,,,0.936062378,0,0.929824561,,,0.929824561,0,511,,
avila-tr,0.80333525,,,0.80333525,0,,,,0.798213885,,,0.798213885,0,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]",,,0.80438475,,,0.80438475,0,0.80333525,,,0.80333525,0,519,,
churn,0.9216,,,0.9216,0,,,,0.912490316,,,0.912490316,0,"best classifier: weka.classifiers.rules.JRip
arguments: [-N, 3.2535425399717908, -E, -P, -O, 4]",,,0.918369391,,,0.918369391,0,0.9216,,,0.9216,0,533,,
cifar-10,0,,,0,0,Timeout,,,0,,,0,0,,,,0,,,0,0,0,,,0,0,660,,
connect-4,0.706927176,0.706927176,0.706927176,0.706927176,0,,,,0.653940022,0.653940022,0.653940022,0.653940022,0,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]","best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]","best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]",0.663703672,0.663703672,0.663703672,0.663703672,0,0.706927176,0.706927176,0.706927176,0.706927176,0,536,534,534
dataset_183_adult,0.845549095,0.845549095,0.845549095,0.845549095,0,,,,0.839809865,0.839809865,0.839809865,0.839809865,0,"best classifier: weka.classifiers.meta.Bagging
arguments: [-P, 74, -I, 4, -S, 1, -W, weka.classifiers.rules.PART, --, -N, 4, -M, 44, -R, -B]","best classifier: weka.classifiers.meta.Bagging
arguments: [-P, 74, -I, 4, -S, 1, -W, weka.classifiers.rules.PART, --, -N, 4, -M, 44, -R, -B]","best classifier: weka.classifiers.meta.Bagging
arguments: [-P, 74, -I, 4, -S, 1, -W, weka.classifiers.rules.PART, --, -N, 4, -M, 44, -R, -B]",0.838465624,0.838465624,0.838465624,0.838465624,0,0.845549095,0.845549095,0.845549095,0.845549095,0,539,538,535
dataset_185_yeast,0.563342318,0.60916442,0.582210243,0.58490566,0.018803638,,,,0.55687728,0.60118117,0.565935153,0.574664534,0.019111257,"best classifier: weka.classifiers.functions.MultilayerPerceptron
arguments: [-L, 0.9005458437479369, -M, 0.3969778277242346, -H, o, -R, -S, 1]","best classifier: weka.classifiers.meta.Bagging
arguments: [-P, 76, -I, 111, -S, 1, -W, weka.classifiers.trees.RandomForest, --, -I, 14, -K, 1, -depth, 0]","best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 18, -K, 0, -depth, 5]",0.564302129,0.606637713,0.596501518,0.58914712,0.018048837,0.563342318,0.60916442,0.582210243,0.58490566,0.018803638,524,539,521
