dataset,accuracy_1,accuracy_mean,accuracy_std,error_1,f1score_1,f1score_mean,f1score_std,model_1,precision_1,precision_mean,precision_std,recall_1,recall_mean,recall_std,time_1
phpTJRsqa,0.6816326530612246,0.6816326530612246,0.0,,0.6688972658928601,0.6688972658928601,0.0,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 105, -K, 1, -depth, 0]",0.6922181444480155,0.6922181444480155,0.0,0.6816326530612244,0.6816326530612244,0.0,13273.0
phpdo58hj,0.75,0.75,0.0,,0.75,0.75,0.0,"best classifier: weka.classifiers.bayes.BayesNet
arguments: [-Q, weka.classifiers.bayes.net.search.local.TAN]",0.75,0.75,0.0,0.75,0.75,0.0,13032.0
phphQEck0,0.8869338121276422,0.8869338121276422,0.0,,0.8857212851498345,0.8857212851498345,0.0,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]",0.8848400536130826,0.8848400536130826,0.0,0.8869338121276422,0.8869338121276422,0.0,13362.0
phpmcGu2X,0.8333333333333333,0.8333333333333333,0.0,,0.8365826275267471,0.8365826275267471,0.0,"best classifier: weka.classifiers.functions.Logistic
arguments: [-R, 0.0885405771893914]",0.8745735050363381,0.8745735050363381,0.0,0.8333333333333334,0.8333333333333334,0.0,14401.0
phpoOxxNn,0.755,0.755,0.0,,0.7628556859806861,0.7628556859806861,0.0,"best classifier: weka.classifiers.functions.Logistic
arguments: [-R, 0.0885405771893914]",0.8052083333333333,0.8052083333333333,0.0,0.755,0.755,0.0,15360.0
phpoW7Dbi,0.4950495049504951,0.4950495049504951,0.0,,0.327847354271851,0.327847354271851,0.0,"best classifier: weka.classifiers.functions.SGD
arguments: [-F, 1, -L, 1.1801980145426108E-5, -R, 1.113393439028679E-12, -N]",0.2450740123517302,0.2450740123517302,0.0,0.4950495049504951,0.4950495049504951,0.0,12011.0
phptd5jYj,0.93734335839599,0.93734335839599,0.0,,0.9375718108447144,0.9375718108447144,0.0,"best classifier: weka.classifiers.functions.MultilayerPerceptron
arguments: [-L, 0.18006960582715342, -M, 0.6779793918336925, -B, -H, t, -D, -S, 1]",0.9403487965667788,0.9403487965667788,0.0,0.93734335839599,0.93734335839599,0.0,14404.0
phpvcoG8S,0.6426367856666123,0.6426367856666123,0.0,,0.629604948932187,0.629604948932187,0.0,"best classifier: weka.classifiers.trees.REPTree
arguments: [-M, 57, -V, 0.02552075631593979, -L, 10, -P]",0.6428372952622399,0.6428372952622399,0.0,0.6426367856666123,0.6426367856666123,0.0,12144.0
phpvtdNPU,0.0,0.0,0.0,Timeout,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,15840.0
solar-flare_1,0.7974683544303798,0.7974683544303798,0.0,,0.7847538677918424,0.7847538677918424,0.0,"best classifier: weka.classifiers.trees.J48
arguments: [-O, -B, -J, -M, 9, -C, 0.0769161364104205]",0.7747943570728381,0.7747943570728381,0.0,0.7974683544303798,0.7974683544303798,0.0,12010.0
tumors_C,0.6666666666666667,0.6666666666666667,0.0,,0.6858054226475279,0.6858054226475279,0.0,"best classifier: weka.classifiers.functions.Logistic
arguments: [-R, 0.057140274761388915]",0.7559523809523809,0.7559523809523809,0.0,0.6666666666666666,0.6666666666666666,0.0,12362.0
