,sklearn_accuracy_mean,sklearn_f1_score_mean,sklearn_model_1,sklearn_precision_mean,sklearn_recall_mean,sklearn_time_mean,sklearn_e_accuracy_mean,sklearn_e_f1_score_mean,sklearn_e_model_1,sklearn_e_precision_mean,sklearn_e_recall_mean,sklearn_e_time_mean,sklearn_m_accuracy_mean,sklearn_m_f1_score_mean,sklearn_m_model_1,sklearn_m_precision_mean,sklearn_m_recall_mean,sklearn_m_time_mean,sklearn_v_accuracy_mean,sklearn_v_f1_score_mean,sklearn_v_model_1,sklearn_v_precision_mean,sklearn_v_recall_mean,sklearn_v_time_mean,autoweka_accuracy_mean,autoweka_f1_score_mean,autoweka_model_1,autoweka_precision_mean,autoweka_recall_mean,autoweka_time_mean,recipe_valid_acc,recipe_valid_precision,recipe_valid_recall,recipe_valid_f1,recipe_train_acc,recipe_train_precision,recipe_train_recall,recipe_train_f1,recipe_test_acc,recipe_test_precision,recipe_test_recall,recipe_test_f1,smartml_model,smartml_train_acc,smartml_valid_acc,tpot_accuracy_mean,tpot_f1_score_mean,tpot_model_1,tpot_precision_mean,tpot_recall_mean,tpot_time_mean
analcatdata_authorship,1.0,1.0,libsvm_svc,1.0,1.0,,0.995260663507109,0.995262751228572,qda,0.9953274147253188,0.995260663507109,,1.0,1.0,lda,1.0,1.0,,0.995260663507109,0.9952581533761158,lda,0.9953184602936076,0.995260663507109,,0.995260664,0.995258153,functions.Logistic,0.99531846,0.995260664,,,,,,,,,,,,,,knn,1,"0.995260663507109
",0.995260663507109,0.9952581533761158,None,0.9953184602936076,0.995260663507109,
arrhythmia,0.831858407079646,0.8286334424587809,gradient_boosting,0.8567253039787035,0.831858407079646,,0.8230088495575221,0.8181304667842044,sgd,0.8591709361900326,0.8230088495575221,,0.8141592920353983,0.8114691616886585,gradient_boosting,0.8313968188633758,0.8141592920353983,,0.8672566371681416,0.865868746166652,gradient_boosting,0.8815402857308116,0.8672566371681416,,0.805309735,0.8028992840000001,bayes.BayesNet,0.819406065,0.805309735,,,,,,,,,,,,,,naiveBayes,0.702064896755162,"0.654867256637168
",0.8230088495575221,0.8200458280657394,None,0.8438240059827994,0.8230088495575221,
audiology,0.9473684210526316,0.9468365823224988,bernoulli_nb,0.9470342522974101,0.9473684210526316,,0.9298245614035088,0.9310113519091848,lda,0.9347728295096716,0.9298245614035088,,0.9473684210526316,0.9455748905732893,libsvm_svc,0.9509569377990428,0.9473684210526316,,0.9473684210526316,0.9455748905732893,extra_trees,0.9509569377990428,0.9473684210526316,,0.929824561,0.926444017,functions.Logistic,0.9360623779999999,0.929824561,,,,,,,,,,,,,,svm,1,"0.894736842105263
",0.9473684210526316,0.9468365823224988,None,0.9470342522974101,0.9473684210526316,
avila-tr,0.9975081464443166,0.9975004211581192,gradient_boosting,0.9975176079433636,0.9975081464443166,,0.9965497412305924,0.9965776678659644,random_forest,0.9966723220510862,0.9965497412305924,,0.9988499137435308,0.9988488377681072,adaboost,0.9988555266734706,0.9988499137435308,,0.9938662066321641,0.9938646718636484,random_forest,0.9938930623454678,0.9938662066321641,,0.80333525,0.798213885,trees.RandomForest,0.80438475,0.80333525,,,,,,,,,,,,,,c50,1,"0.998466551658041
",,,None,,,
churn,0.9568,0.9543513373597928,random_forest,0.9564482896948014,0.9568,,0.9544,0.9515886961605924,random_forest,0.9540676776687482,0.9544,,0.948,0.94461853307785,random_forest,0.946928488791973,0.948,,0.948,0.94461853307785,random_forest,0.946928488791973,0.948,,0.9216,0.912490316,rules.JRip,0.9183693909999999,0.9216,,,,,,,,,,,,,,randomForest,0.986133333333333,"0.9576
",0.9536,0.9508168220356856,None,0.9530323076923076,0.9536,
cifar-10,,,,,,,,,None,,,,,,None,,,,,,None,,,,0.0,0.0,None,0.0,0.0,,0.28244444444444444,0.2894979819846175,0.28244444444444444,0.26140658003517764,0.2875333333333333,0.2982023922469028,0.2875333333333333,0.26648883934269607,0.28686666666666666,0.29971523592413324,0.28686666666666666,0.2667139572824652,bagging,0.874617737003058,"0.203133333333333
",,,,,,
connect-4,0.8122755081902507,0.7926063624739719,random_forest,0.7914731802613076,0.8122755081902507,,0.8004144464179989,0.7696741137770137,random_forest,0.7732795395033264,0.8004144464179989,,0.8004736530491415,0.7699151308490215,random_forest,0.7735129729059462,0.8004736530491415,,0.8062956384448391,0.7874040547057309,adaboost,0.7850005789039392,0.8062956384448391,,0.706927176,0.653940022,trees.RandomForest,0.663703672,0.706927176,,0.6948227090323005,0.6952971139155839,0.6948227090323005,0.6950588321105234,1.0,1.0,1.0,1.0,0.7211959739490823,0.7207566813272082,0.7211959739490823,0.7209750662720867,c50,0.922336037262913,"0.838247483718176
",,,None,,,
dataset_183_adult,0.8533562634782846,0.8508751835927256,gradient_boosting,0.8494737623952506,0.8533562634782846,,0.8521824584391123,0.8498335983690946,lda,0.8484148565101254,0.8521824584391123,,0.8564409139300629,0.8518581556094448,random_forest,0.8507496857163734,0.8564409139300629,,0.8536292413943709,0.8487077956429671,extra_trees,0.84753716669589,0.8536292413943709,,0.845549095,0.839809865,meta.Bagging,0.838465624,0.845549095,,0.8253867151956324,0.8432421491134039,0.8253867151956324,0.8313560833392284,0.8386066446452458,0.8403874657703261,0.8386066446452458,0.8394433939724497,0.8375235443452624,0.8369953453961908,0.8375235443452624,0.8372542500714177,randomForest,0.885042723376375,"0.854803046433544
",,,None,,,
dataset_185_yeast,0.5929919137466307,0.5879136428924411,adaboost,0.5926816785513261,0.5929919137466307,,0.5974842767295598,0.5920476589555417,sgd,0.6008636587593225,0.5974842767295598,,0.5822102425876011,0.5771125188961604,random_forest,0.583205065471989,0.5822102425876011,,0.575022461814915,0.5677897367106329,random_forest,0.5708213334068001,0.575022461814915,,0.58490566,0.574664534,functions.MultilayerPerceptron,0.58914712,0.58490566,,0.5688622754491018,0.615071131807861,0.5688622754491018,0.5596298203708321,0.7996406109613656,0.800580364843951,0.7996406109613656,0.7983120907978771,0.522911051212938,0.5417567487188156,0.522911051212938,0.5204909944221887,bagging,0.554357592093441,"0.566037735849057
",0.6001796945193171,0.5915253728655314,None,0.5984733842094018,0.6001796945193171,
dataset_186_satimage,0.918117744610282,0.9170090798255972,random_forest,0.916970862037649,0.918117744610282,,0.9073383084577116,0.9057127290341538,lda,0.9060867231708823,0.9073383084577116,,0.9081674958540632,0.9067418963574682,random_forest,0.9065806318346272,0.9081674958540632,,0.903606965174129,0.901661930330953,random_forest,0.9014809718788159,0.903606965174129,,0.913557214,0.9122558940000001,meta.AdaBoostM1,0.912068785,0.913557214,,0.9149965445749827,0.9123077756829792,0.9149965445749827,0.9117948042246383,1.0,1.0,1.0,1.0,0.9185323383084577,0.9169702046610154,0.9185323383084577,0.9168612490842232,randomForest,1,"0.911069651741294
",,,None,,,
